index,urlkey,timestamp,url,mime,mime-detected,status,digest,length,offset,filename,languages,encoding,redirect,truncated,index_name,success_status,html
55,"nl,slotzuylen)/zakelijk",20241202071107,https://slotzuylen.nl/zakelijk/,text/html,text/html,200,OUJIY3WSHKFHBS3N4BJKO47EE6HF6DIJ,22620,507005272,crawl-data/CC-MAIN-2024-51/segments/1733066127282.52/warc/CC-MAIN-20241202064003-20241202094003-00792.warc.gz,nld,UTF-8,,,CC-MAIN-2024-51,not processed,
27,"nl,slotzuylen)/agenda/rondleiding-in-de-steigers/2025-01-11",20241202073900,https://slotzuylen.nl/agenda/rondleiding-in-de-steigers/2025-01-11/,text/html,text/html,200,GSBFRQJEQXYYGWZQ57JGUEAW5NPWQRJC,23550,501964632,crawl-data/CC-MAIN-2024-51/segments/1733066127282.52/warc/CC-MAIN-20241202064003-20241202094003-00817.warc.gz,nld,UTF-8,,,CC-MAIN-2024-51,not processed,
25,"nl,slotzuylen)/agenda/rondleiding-geheimen-van-de-gids/2023-02-28",20241202064906,https://slotzuylen.nl/agenda/rondleiding-geheimen-van-de-gids/2023-02-28/,text/html,text/html,200,CGLX2FHSIHEQYOZ6DOLBCVFSVB5337FG,23595,495038699,crawl-data/CC-MAIN-2024-51/segments/1733066127282.52/warc/CC-MAIN-20241202064003-20241202094003-00228.warc.gz,nld,UTF-8,,,CC-MAIN-2024-51,not processed,
24,"nl,slotzuylen)/agenda/overzicht?related_series=13038",20241202071829,https://slotzuylen.nl/agenda/overzicht/?related_series=13038,text/html,text/html,200,U3YC4X7J6J5UGWINMROZOFQOTFYRKKBH,24589,513989925,crawl-data/CC-MAIN-2024-51/segments/1733066127282.52/warc/CC-MAIN-20241202064003-20241202094003-00226.warc.gz,nld,UTF-8,,,CC-MAIN-2024-51,not processed,
23,"nl,slotzuylen)/agenda/opera-in-de-kasteeltuin-entfuhrung-aus-dem-serail/2024-07-04/1",20241202080521,https://slotzuylen.nl/agenda/opera-in-de-kasteeltuin-entfuhrung-aus-dem-serail/2024-07-04/1/,text/html,text/html,200,O5S6LLXQC4XNXARDVGTNQSFWR7UF2GJ2,27725,511523890,crawl-data/CC-MAIN-2024-51/segments/1733066127282.52/warc/CC-MAIN-20241202064003-20241202094003-00424.warc.gz,nld,UTF-8,,,CC-MAIN-2024-51,not processed,
22,"nl,slotzuylen)/agenda/muizenuitje/2023-10-17",20241202084045,https://slotzuylen.nl/agenda/muizenuitje/2023-10-17/,text/html,text/html,200,3FBM4RJB4IJ2PCVJ2FRPW66DLMSYGNCM,23853,505705735,crawl-data/CC-MAIN-2024-51/segments/1733066127282.52/warc/CC-MAIN-20241202064003-20241202094003-00088.warc.gz,nld,UTF-8,,,CC-MAIN-2024-51,not processed,
21,"nl,slotzuylen)/agenda/maand?related_series=13057",20241202064142,https://slotzuylen.nl/agenda/maand/?related_series=13057,text/html,text/html,200,SEZENN4N5PCAG2UPWAQ6UHJ7SSHMNZEC,17535,504430132,crawl-data/CC-MAIN-2024-51/segments/1733066127282.52/warc/CC-MAIN-20241202064003-20241202094003-00330.warc.gz,nld,UTF-8,,,CC-MAIN-2024-51,not processed,
20,"nl,slotzuylen)/agenda/maand?related_series=13038",20241202080803,https://slotzuylen.nl/agenda/maand/?related_series=13038,text/html,text/html,200,7QA2NACGADUJBRB5YOFKQBG7F45JL2A2,17542,516843990,crawl-data/CC-MAIN-2024-51/segments/1733066127282.52/warc/CC-MAIN-20241202064003-20241202094003-00269.warc.gz,nld,UTF-8,,,CC-MAIN-2024-51,not processed,
19,"nl,slotzuylen)/agenda/maand?related_series=13034&shortcode=90bcba70",20241202071301,https://slotzuylen.nl/agenda/maand/?related_series=13034&shortcode=90bcba70,text/html,text/html,200,VL5PQJBVDCZ2ZNLX2M6ZAJGHV5IKNBB7,17571,506032772,crawl-data/CC-MAIN-2024-51/segments/1733066127282.52/warc/CC-MAIN-20241202064003-20241202094003-00657.warc.gz,nld,UTF-8,,,CC-MAIN-2024-51,not processed,
18,"nl,slotzuylen)/agenda/lijst?eventdisplay=past&related_series=13038&shortcode=90bcba70",20241202074901,https://slotzuylen.nl/agenda/lijst/?related_series=13038&shortcode=90bcba70&eventDisplay=past,text/html,text/html,200,2FXZFYOPEGQTGEJRFIVV6TNDDTYPLQR5,24600,504406571,crawl-data/CC-MAIN-2024-51/segments/1733066127282.52/warc/CC-MAIN-20241202064003-20241202094003-00211.warc.gz,nld,UTF-8,,,CC-MAIN-2024-51,not processed,
